"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C12","2","10uF","","","","","~"
"C2","1","100nF","","","","","~"
"C3","1","100pF","","","","","~"
"C4,C5,C13","3","22uF","","","","","~"
"C11","1","10nF","","","","","~"
"D1,D5,D13,D14,D16,D17,D21,D22,D23,D24,D25","11","LED","","","","",""
"D3,D4,D6,D7,D8,D9,D10,D11,D12,D15","10","BAS16LT3G","","","","BAS16LT3G:SOT95P240X111-3N",""
"D18","1","1N4148WT","","","","Diode_SMD:D_SOD-523","https://www.diodes.com/assets/Datasheets/ds30396.pdf"
"J1","1","350826-1","","","","CONN_350826-1_TYC","350826-1"
"J2,J6,J24,J28","4","A_In","","","","","~"
"J3,J7,J25,J29","4","A_Out","","","","","~"
"J4,J5,J8,J9,J22,J23,J26,J27","8","678005005","","","","CONN_67800-5005_MOL","678005005"
"J10,J11,J12,J13","4","AFBR-59R5LZ","","","","AFBR59R5LZ","http://www.avagotech.com/pages/en/optical_transceivers/storage/4g_fibre_channel/afbr-59r5lz/"
"J14,J15,J16,J17,J18,J19,J20,J21","8","10845031","","","","CONN_SDA_42002-xxxxx_03_MOL","10845031"
"J31","1","B08B-PASKLFSN","","","","CONN_B08B-PASK_JST","B08B-PASKLFSN"
"K1,K2,K3,K10","4","PR23-12V-900-1C","","","","PR23-12V-900-1C:RELAY_PR23-12V-900-1C",""
"K4,K5,K6,K7","4","HE722A1200","","","","HE722_LTF","HE722A1200"
"K9,K11","2","G5LE-1-VD-DC12","","","","G5LE-1_OMR","G5LE-1-VD-DC12"
"L1","1","3.3uF","","","","","~"
"L3","1","4.7uH","","","","","~"
"R1,R9,R20,R25,R29,R33,R34,R35,R36,R37,R48,R58","12","1k","","","","","~"
"R2","1","56.2k","","","","","~"
"R3,R7,R8,R11,R13,R14,R18,R21,R24,R47,R57","11","10k","","","","","~"
"R4","1","9k","","","","","~"
"R10,R26,R27,R28,R30,R31,R32,R38,R39,R40,R41,R42,R43,R44,R45,R46,R49,R50,R51,R52,R53,R54,R55,R56,R59,R60,R61,R62,R63,R64,R65,R66","32","0","","","","","~"
"R12","1","49.9k","","","","","~"
"R15,R16,R19,R22","4","244","","","","","~"
"R17","1","16.3k","","","","","~"
"U1","1","AP62300TWU-7","","","","TSOT26-WU_DIO","AP62300TWU-7"
"U3","1","SC0192_9_","","","","SC0192_9_:MODULE_SC0192_9_",""
"U4,U5,U6,U7,U8,U10,U11,U13,U15,U17","10","DMN3023L-7","","","","SOT-23_2P9X1P3_DIO","DMN3023L-7"
"U9,U12,U14,U16","4","SFH615A-4X009","","","","SFH615A-4X009:SOIC254P1016X390-4N",""
"U18","1","AP3211KTR-G1","","","","SOT23-6_DIO","AP3211KTR-G1"
